Speed,RPM,Throttle,Brake,SteeringWheelAngle,Lap,FuelLevel,Time
73.1808597,8287.69613,100.000000,0.000000,0.00629915,17,60.1666372,2.8166666655399997
73.2082581,8266.55462,100.000000,0.000000,0.00813742,17,60.1661495,2.8333333322
73.2330091,8254.93333,100.000000,0.000000,0.00895443,17,60.1656597,2.84999999886
73.2556420,8250.92821,100.000000,0.000000,0.00895443,17,60.1651682,2.86666666552
73.2674752,8283.49730,100.000000,0.000000,0.00983414,17,60.1646767,2.88333333218
73.2798315,8321.29387,100.000000,0.000000,0.01038396,17,60.1641860,2.89999999884
73.2987435,8361.38539,100.000000,0.000000,0.00939429,17,60.1636983,2.9166666654999998
73.3201301,8357.35403,100.000000,0.000000,0.00848329,17,60.1632085,2.9333333321599997
73.3434965,8318.02436,100.000000,0.000000,0.00763524,17,60.1627170,2.94999999882
73.3678426,8301.91799,100.000000,0.000000,0.00666081,17,60.1622255,2.96666666548
73.3913655,8296.47450,100.000000,0.000000,0.00551361,17,60.1617340,2.98333333214
73.4115793,8318.19085,100.000000,0.000000,0.00381695,17,60.1612425,2.9999999988
73.4341525,8315.93109,100.000000,0.000000,0.00204162,17,60.1607509,3.01666666546
73.4586133,8294.49045,100.000000,0.000000,0.00020334,17,60.1602594,3.03333333212
73.4863031,8272.90918,100.000000,0.000000,-0.00163445,17,60.1597713,3.0499999987799997
73.5129118,8258.94972,100.000000,0.000000,-0.00328384,17,60.1592828,3.0666666654399997
73.5343236,8271.72809,100.000000,0.000000,-0.00427405,17,60.1587913,3.0833333321
73.5522667,8287.64757,100.000000,0.000000,-0.00471415,17,60.1583019,3.09999999876
73.5674347,8306.07996,100.000000,0.000000,-0.00471415,17,60.1578142,3.11666666542
73.5866304,8320.61329,100.000000,0.000000,-0.00471415,17,60.1573231,3.13333333208
73.6068066,8328.48862,100.000000,0.000000,-0.00471415,17,60.1568316,3.14999999874
73.6286524,8314.76676,100.000000,0.000000,-0.00471415,17,60.1563401,3.1666666653999997
73.6524629,8303.33611,100.000000,0.000000,-0.00518529,17,60.1558485,3.1833333320599997
73.6778453,8293.73841,100.000000,0.000000,-0.00603335,17,60.1553570,3.19999999872
73.6964045,8297.44896,100.000000,0.000000,-0.00864131,17,60.1548689,3.21666666538
73.7145707,8306.47906,100.000000,0.000000,-0.01124934,17,60.1543804,3.23333333204
73.7343467,8328.30524,100.000000,0.000000,-0.01308761,17,60.1538889,3.2499999987
73.7555669,8330.86656,100.000000,0.000000,-0.01594715,17,60.1533973,3.26666666536
73.7779426,8318.01600,100.000000,0.000000,-0.01962369,17,60.1529058,3.2833333320199998
73.8009873,8308.98974,100.000000,0.000000,-0.02242005,17,60.1524143,3.2999999986799997
73.8232700,8307.31947,100.000000,0.000000,-0.02491780,17,60.1519228,3.3166666653399997
73.8425929,8329.72203,100.000000,0.000000,-0.02675553,17,60.1514313,3.333333332
73.8587819,8343.47819,100.000000,0.000000,-0.02757230,17,60.1509397,3.34999999866
73.8724638,8350.31723,100.000000,0.000000,-0.02757230,17,60.1504482,3.36666666532
73.8913579,8358.90458,100.000000,0.000000,-0.02832710,17,60.1499601,3.38333333198
73.9137570,8362.19947,100.000000,0.000000,-0.02898755,17,60.1494707,3.39999999864
73.9461436,8346.20587,100.000000,0.000000,-0.02898755,17,60.1489754,3.4166666652999997
73.9723499,8316.10539,100.000000,0.000000,-0.02898755,17,60.1484843,3.4333333319599997
73.9936119,8274.71940,100.000000,0.000000,-0.02898755,17,60.1479966,3.4499999986199996
74.0018624,8334.02573,100.000000,0.000000,-0.02986677,17,60.1475055,3.46666666528
74.0113536,8400.51802,100.000000,0.000000,-0.03063609,17,60.1470140,3.48333333194
74.0308800,8448.10829,100.000000,0.000000,-0.03063609,17,60.1465225,3.4999999986
74.0598699,8410.73024,100.000000,0.000000,-0.03110754,17,60.1460331,3.51666666526
74.0964305,8305.37754,100.000000,0.000000,-0.03195614,17,60.1455454,3.5333333319199998
74.1217545,8285.69097,100.000000,0.000000,-0.03205043,17,60.1450509,3.5499999985799997
74.1406690,8303.51646,100.000000,0.000000,-0.03205043,17,60.1445564,3.5666666652399996
74.1420668,8415.15524,100.000000,0.000000,-0.03205043,17,60.1440649,3.5833333319
74.1482944,8474.22912,100.000000,0.000000,-0.03205043,17,60.1435755,3.59999999856
74.1583859,8491.25107,100.000000,0.000000,-0.03205043,17,60.1430878,3.61666666522
74.1821717,8442.38716,100.000000,0.000000,-0.03205043,17,60.1425967,3.63333333188
74.2089911,8398.14707,100.000000,0.000000,-0.03145335,17,60.1421043,3.64999999854
74.2404369,8398.91546,100.000000,0.000000,-0.02876648,17,60.1416090,3.6666666651999997
74.2650603,8388.95616,100.000000,0.000000,-0.02702249,17,60.1411157,3.6833333318599997
74.2842257,8370.41472,100.000000,0.000000,-0.02603280,17,60.1406242,3.6999999985199996
74.3059989,8373.95447,100.000000,0.000000,-0.02516902,17,60.1401327,3.71666666518
74.3267755,8380.61210,100.000000,0.000000,-0.02410091,17,60.1396412,3.73333333184
74.3429227,8388.52173,100.000000,0.000000,-0.02226263,17,60.1391497,3.7499999985
74.3603584,8398.16661,100.000000,0.000000,-0.02042436,17,60.1386581,3.76666666516
74.3788250,8409.19970,100.000000,0.000000,-0.01858608,17,60.1381666,3.7833333318199998
74.4010906,8391.61165,100.000000,0.000000,-0.01762752,17,60.1376717,3.7999999984799997
74.4240845,8371.90788,100.000000,0.000000,-0.01696750,17,60.1371780,3.8166666651399996
74.4479654,8357.32087,100.000000,0.000000,-0.01696750,17,60.1366903,3.8333333318
74.4692117,8365.10635,100.000000,0.000000,-0.01696750,17,60.1361984,3.84999999846
74.4883503,8390.78980,100.000000,0.000000,-0.01696750,17,60.1357030,3.86666666512
74.5039458,8402.90355,100.000000,0.000000,-0.01696750,17,60.1352111,3.88333333178
74.5194159,8412.05355,100.000000,0.000000,-0.01715608,17,60.1347204,3.89999999844
74.5359970,8416.76715,100.000000,0.000000,-0.01800468,17,60.1342327,3.9166666650999997
74.5562795,8422.99499,100.000000,0.000000,-0.01940311,17,60.1337408,3.9333333317599997
74.5795230,8430.43422,100.000000,0.000000,-0.02124139,17,60.1332454,3.9499999984199996
74.6032171,8411.59625,100.000000,0.000000,-0.02307966,17,60.1327535,3.96666666508
74.6249587,8396.56823,100.000000,0.000000,-0.02510651,17,60.1322620,3.98333333174
74.6396698,8406.37137,100.000000,0.000000,-0.02779338,17,60.1317705,3.9999999984
74.6545365,8435.54325,100.000000,0.000000,-0.03000851,17,60.1312789,4.01666666506
74.6695279,8480.21013,100.000000,0.000000,-0.03184624,17,60.1307874,4.03333333172
74.6871100,8469.57453,100.000000,0.000000,-0.03368446,17,60.1302925,4.04999999838
74.7062899,8452.23706,100.000000,0.000000,-0.03533416,17,60.1297980,4.06666666504
74.7299290,8435.63789,100.000000,0.000000,-0.03632382,17,60.1293065,4.0833333317
74.7524331,8429.90677,100.000000,0.000000,-0.03621386,17,60.1288149,4.0999999983599995
74.7740292,8432.87010,100.000000,0.000000,-0.03522419,17,60.1283234,4.1166666650199994
74.7960452,8429.14261,100.000000,0.000000,-0.03272589,17,60.1278353,4.133333331679999
74.8178560,8425.07755,100.000000,0.000000,-0.03022759,17,60.1273459,4.14999999834
74.8387648,8422.75819,100.000000,0.000000,-0.02838931,17,60.1268506,4.166666665
74.8568597,8434.48747,100.000000,0.000000,-0.02655134,17,60.1263573,4.18333333166
74.8727036,8457.45566,100.000000,0.000000,-0.02471361,17,60.1258658,4.19999999832
74.8899708,8474.89459,100.000000,0.000000,-0.02362923,17,60.1253709,4.21666666498
74.9079492,8484.98210,100.000000,0.000000,-0.02285906,17,60.1248772,4.23333333164
74.9277943,8471.75868,100.000000,0.000000,-0.02285906,17,60.1243895,4.2499999983
74.9437525,8477.04832,100.000000,0.000000,-0.02340918,17,60.1238997,4.26666666496
74.9566012,8497.14842,100.000000,0.000000,-0.02439940,17,60.1234082,4.28333333162
74.9718391,8515.50157,100.000000,0.000000,-0.02526325,17,60.1229167,4.29999999828
74.9898615,8522.92915,100.000000,0.000000,-0.02592285,17,60.1224252,4.31666666494
75.0165841,8492.88154,100.000000,0.000000,-0.02592285,17,60.1219337,4.3333333316
75.0423147,8464.57365,100.000000,0.000000,-0.02592285,17,60.1214400,4.3499999982599995
75.0672516,8437.65756,100.000000,0.000000,-0.02592285,17,60.1209446,4.366666664919999
75.0859524,8451.30551,100.000000,0.000000,-0.02516902,17,60.1204527,4.383333331579999
75.1031339,8470.72422,100.000000,0.000000,-0.02428937,17,60.1199612,4.39999999824
75.1177259,8492.59379,100.000000,0.000000,-0.02329916,17,60.1194697,4.4166666649
75.1331712,8500.86165,100.000000,0.000000,-0.02238792,17,60.1189781,4.43333333156
75.1492992,8498.24815,100.000000,0.000000,-0.02153986,17,60.1184866,4.44999999822
75.1694515,8493.83445,100.000000,0.000000,-0.02144563,17,60.1179951,4.46666666488
75.1904158,8486.27315,100.000000,0.000000,-0.02144563,17,60.1175036,4.48333333154
75.2124612,8468.48282,100.000000,0.000000,-0.02144563,17,60.1170121,4.4999999982
75.2344704,8457.99787,100.000000,0.000000,-0.02042436,17,60.1165227,4.51666666486
75.2564506,8453.35723,100.000000,0.000000,-0.01858608,17,60.1160350,4.53333333152
75.2773146,8466.50688,100.000000,0.000000,-0.01511379,17,60.1155405,4.54999999818
75.2978871,8479.55968,100.000000,0.000000,-0.01143736,17,60.1150460,4.56666666484
75.3179281,8484.49024,100.000000,0.000000,-0.00776136,17,60.1145545,4.5833333314999996
75.3318421,8501.56117,100.000000,0.000000,-0.00361422,17,60.1140629,4.5999999981599995
75.3408546,8528.34441,100.000000,0.000000,0.00090984,17,60.1135714,4.616666664819999
75.3478703,8572.24653,100.000000,0.000000,0.00543487,17,60.1130799,4.633333331479999
75.3565564,8608.35119,100.000000,0.000000,0.00936295,17,60.1125884,4.64999999814
75.3719625,8609.67522,100.000000,0.000000,0.01120122,17,60.1120969,4.6666666648
75.3949696,8574.28800,100.000000,0.000000,0.01303919,17,60.1116053,4.68333333146
75.4240576,8509.53178,100.000000,0.000000,0.01487692,17,60.1111138,4.69999999812
75.4515004,8467.03629,100.000000,0.000000,0.01508111,17,60.1106223,4.71666666478
75.4761314,8443.78385,100.000000,0.000000,0.01508111,17,60.1101308,4.73333333144
75.4916412,8478.14302,100.000000,0.000000,0.01508111,17,60.1096393,4.7499999981
75.5107925,8503.55413,100.000000,0.000000,0.01508111,17,60.1091477,4.76666666476
75.5328572,8521.80681,100.000000,0.000000,0.01508111,17,60.1086562,4.78333333142
75.5524369,8499.73538,100.000000,0.000000,0.01508111,17,60.1081647,4.79999999808
75.5661440,8491.02148,100.000000,0.000000,0.01508111,17,60.1076732,4.81666666474
75.5603840,8546.70071,100.000000,0.000000,0.01508111,17,60.1071817,4.8333333313999995
75.5652075,8563.34976,100.000000,0.000000,0.01563123,17,60.1066901,4.8499999980599995
75.5784977,8548.77466,100.000000,0.000000,0.01662145,17,60.1061986,4.866666664719999
75.5994133,8556.01929,100.000000,0.000000,0.01585128,17,60.1057071,4.883333331379999
75.6218274,8553.37382,100.000000,0.000000,0.01467273,17,60.1052156,4.89999999804
75.6461500,8506.56691,100.000000,0.000000,0.01283500,17,60.1047241,4.9166666647
75.6650368,8494.91093,100.000000,0.000000,0.01099696,17,60.1042325,4.93333333136
75.6795750,8511.37570,100.000000,0.000000,0.00915868,17,60.1037410,4.94999999802
75.6920823,8548.96593,100.000000,0.000000,0.00732041,17,60.1032529,4.96666666468
75.7057165,8576.06959,100.000000,0.000000,0.00529356,17,60.1027635,4.98333333134
75.7241830,8557.22786,100.000000,0.000000,0.00260668,17,60.1022682,4.999999998
75.7456704,8540.34517,100.000000,0.000000,-0.00007959,17,60.1017749,5.01666666466
75.7695744,8525.02972,100.000000,0.000000,-0.00276537,17,60.1012834,5.03333333132
75.7886793,8528.60672,100.000000,0.000000,-0.00469781,17,60.1007953,5.04999999798
75.8063812,8536.10031,100.000000,0.000000,-0.00653609,17,60.1003068,5.06666666464
